,date,nepse_index
0,2018-06-12,1858.0699462890625
1,2018-06-13,1875.7099609375
2,2018-06-14,1895.1600341796875
3,2018-06-17,1924.1099853515625
4,2018-06-18,1928.489990234375
5,2018-06-19,1920.43994140625
6,2018-06-20,1914.3699951171875
7,2018-06-21,1848.68994140625
8,2018-06-24,1846.5699462890625
9,2018-06-25,1848.8299560546875
10,2018-06-26,1796.81005859375
11,2018-06-27,1817.47998046875
12,2018-06-28,1810.0
13,2018-07-01,1791.3599853515625
14,2018-07-02,1793.5899658203125
15,2018-07-03,1800.1199951171875
16,2018-07-04,1820.97998046875
17,2018-07-05,1879.5799560546875
18,2018-07-08,1921.5699462890625
19,2018-07-09,1899.25
20,2018-07-10,1897.8399658203125
21,2018-07-11,1811.4200439453125
22,2018-07-12,1773.77001953125
23,2018-07-15,1814.4300537109375
24,2018-07-16,1846.719970703125
25,2018-07-17,1793.6099853515625
26,2018-07-18,1793.6099853515625
27,2018-07-19,1808.219970703125
28,2018-07-22,1773.6500244140625
29,2018-07-23,1773.6500244140625
30,2018-07-24,1823.780029296875
31,2018-07-25,1807.260009765625
32,2018-07-26,1846.760009765625
33,2018-07-29,1826.6199951171875
34,2018-07-30,1816.6300048828125
35,2018-07-31,1799.449951171875
36,2018-08-01,1810.699951171875
37,2018-08-02,1808.449951171875
38,2018-08-05,1812.68994140625
39,2018-08-06,1806.6600341796875
40,2018-08-07,1839.0
41,2018-08-08,1876.4599609375
42,2018-08-09,1844.93994140625
43,2018-08-12,1851.6700439453125
44,2018-08-13,1849.1700439453125
45,2018-08-14,1847.760009765625
46,2018-08-15,1877.02001953125
47,2018-08-16,1849.77001953125
48,2018-08-19,1826.719970703125
49,2018-08-20,1821.550048828125
50,2018-08-21,1812.7900390625
51,2018-08-22,1811.800048828125
52,2018-08-23,1809.43994140625
53,2018-08-26,1809.4000244140625
54,2018-08-28,1821.6400146484375
55,2018-08-29,1819.3800048828125
56,2018-08-30,1817.0699462890625
57,2018-09-02,1849.1800537109375
58,2018-09-03,1846.9200439453125
59,2018-09-04,1863.010009765625
60,2018-09-05,1882.1199951171875
61,2018-09-06,1877.1800537109375
62,2018-09-09,1872.949951171875
63,2018-09-10,1827.0
64,2018-09-11,1876.47998046875
65,2018-09-12,1875.0699462890625
66,2018-09-13,1907.260009765625
67,2018-09-16,1911.6099853515625
68,2018-09-17,1892.77001953125
69,2018-09-18,1867.4000244140625
70,2018-09-20,1887.4100341796875
71,2018-09-23,1894.8499755859375
72,2018-09-25,1917.6300048828125
73,2018-09-26,1907.6500244140625
74,2018-09-27,1920.699951171875
75,2018-09-30,1885.47998046875
76,2018-10-01,1867.219970703125
77,2018-10-02,1866.9300537109375
78,2018-10-03,1873.199951171875
79,2018-10-04,1843.6800537109375
80,2018-10-07,1808.5799560546875
81,2018-10-08,1857.010009765625
82,2018-10-09,1836.3900146484375
83,2018-10-10,1829.97998046875
84,2018-10-11,1793.469970703125
85,2018-10-14,1848.81005859375
86,2018-10-15,1854.22998046875
87,2018-10-21,1839.1099853515625
88,2018-10-22,1861.050048828125
89,2018-10-23,1861.050048828125
90,2018-10-24,1930.050048828125
91,2018-10-25,1894.800048828125
92,2018-10-28,1894.9100341796875
93,2018-10-29,1851.18994140625
94,2018-10-30,1833.3299560546875
95,2018-10-31,1832.3199462890625
96,2018-11-01,1842.9599609375
97,2018-11-04,1837.9200439453125
98,2018-11-05,1875.5400390625
99,2018-11-11,1839.4166259765625
100,2018-11-12,1825.7664794921875
101,2018-11-13,1862.33154296875
102,2018-11-14,1854.3697509765625
103,2018-11-15,1854.7474365234375
104,2018-11-18,1855.0283203125
105,2018-11-19,1835.385498046875
106,2018-11-20,1834.5728759765625
107,2018-11-21,1811.637939453125
108,2018-11-22,1832.38037109375
109,2018-11-25,1803.511962890625
110,2018-11-26,1790.2078857421875
111,2018-11-27,1800.283447265625
112,2018-11-28,1797.032958984375
113,2018-11-29,1787.4656982421875
114,2018-12-02,1754.204345703125
115,2018-12-03,1752.16796875
116,2018-12-04,1748.3541259765625
117,2018-12-05,1737.6280517578125
118,2018-12-06,1738.278564453125
119,2018-12-09,1747.2271728515625
120,2018-12-10,1771.0950927734375
121,2018-12-11,1756.4149169921875
122,2018-12-12,1719.1446533203125
123,2018-12-13,1717.2982177734375
124,2018-12-16,1747.67431640625
125,2018-12-17,1748.3843994140625
126,2018-12-18,1742.8428955078125
127,2018-12-19,1737.30126953125
128,2018-12-20,1708.3734130859375
129,2018-12-23,1772.2945556640625
130,2018-12-24,1739.6390380859375
131,2018-12-25,1718.138671875
132,2018-12-26,1783.7572021484375
133,2018-12-27,1720.12255859375
134,2018-12-30,1740.91259765625
135,2018-12-31,1721.6383056640625
136,2019-01-01,1716.725341796875
137,2019-01-02,1710.9346923828125
138,2019-01-03,1729.1845703125
139,2019-01-06,1721.38916015625
140,2019-01-07,1739.038330078125
141,2019-01-08,1727.077392578125
142,2019-01-09,1732.5537109375
143,2019-01-10,1730.7724609375
144,2019-01-13,1717.90576171875
145,2019-01-14,1736.7470703125
146,2019-01-15,1743.248046875
147,2019-01-16,1740.81005859375
148,2019-01-17,1738.0859375
149,2019-01-20,1743.62744140625
150,2019-01-21,1718.5625
151,2019-01-22,1733.5618896484375
152,2019-01-23,1733.7738037109375
153,2019-01-24,1736.06494140625
154,2019-01-27,1723.5406494140625
155,2019-01-28,1721.9805908203125
156,2019-01-29,1720.2900390625
157,2019-01-30,1725.9783935546875
158,2019-01-31,1727.8736572265625
159,2019-02-03,1710.620361328125
