,date,nepse_index,momentum,EMA,MACD,RSI,STOCHRSI,ROI,ATR,ADX,williams,CCI
23,2018-07-15,1814.4300537109373,-84.81994628906273,1837.5859598239765,-6.76220908913092,0.27510185608084575,0.0,1.014784223238576,125.47998046875,-5.770594378585853,0.6759639742706735,1829.1500244140625
24,2018-07-16,1846.719970703125,-51.1199951171875,1839.013105252454,-5.540792823470383,0.5813672499737337,0.06324015529989775,0.9999177040691206,124.0699462890625,-5.486751135702418,0.41202560850704606,1839.4433186848958
25,2018-07-17,1793.6099853515625,-17.81005859375,1831.9360635510554,-8.254246572394322,0.41172806929308325,0.21411145747553567,1.029162977048037,72.949951171875,-5.208679577634505,0.7280331857444537,1804.6999918619792
26,2018-07-18,1793.6099853515625,19.8399658203125,1825.9742027136579,-10.271957390237276,0.8037675553391633,1.0,1.0276370045489587,72.949951171875,-4.936358569274326,0.7280331857444537,1804.6999918619792
27,2018-07-19,1808.219970703125,-6.210083007812273,1823.2171358742455,-10.680821256408308,1.6486529970556938,1.0,1.0153875213681445,53.1099853515625,-4.669756951920443,0.7249107629224252,1816.1833089192708
28,2018-07-22,1773.6500244140625,-73.0699462890625,1815.5309281749066,-13.36764796594889,0.5348989382881767,0.09957828986265874,1.026838427470937,73.0699462890625,-0.10403668930303953,1.0,1798.0066731770833
29,2018-07-23,1773.6500244140625,-19.9599609375,1809.0445121081013,-15.310001951036611,0.16662861247936026,0.0,1.0197569867212362,34.5699462890625,0.053210520695632285,1.0,1785.17333984375
30,2018-07-24,1823.780029296875,30.1700439453125,1811.3243627580996,-12.983284363829398,1.8727246404446374,1.0,0.9876662655619934,50.1300048828125,2.625605157249606,0.0,1807.0700276692708
31,2018-07-25,1807.260009765625,-0.9599609375,1810.6960817459594,-12.231167458927757,1.2671762291262971,0.6450678031057085,0.9964642594829313,50.1300048828125,2.719903155892007,0.32954354522542706,1801.5633544921875
32,2018-07-26,1846.760009765625,73.1099853515625,1816.266855631925,-8.576980757528872,1.7543563289521154,0.9306203698078529,0.9791034009758169,73.1099853515625,0.12509955230233635,0.0,1822.3900146484375
33,2018-07-29,1826.6199951171875,52.969970703125,1817.8651029115642,-7.12066847647543,2.444896926268401,1.0,0.9905661852629613,73.1099853515625,0.2765817962434346,0.2754755667312833,1815.6766764322917
34,2018-07-30,1816.6300048828125,-7.1500244140625,1817.6745373126862,-6.647389590116973,1.921328145238737,0.555438923422019,0.994357133291309,39.5,0.4244646688352051,0.7627849337420886,1823.5500081380208
35,2018-07-31,1799.449951171875,-7.81005859375,1814.8638844108782,-7.492588174884304,0.6188305131421927,0.0,1.0041751921533097,47.31005859375,1.0323708437673453,1.0,1815.219970703125
36,2018-08-01,1810.699951171875,-36.06005859375,1814.2219515514273,-7.217925555775082,1.0727105716733236,0.24855616163165312,0.998880016481886,47.31005859375,1.1625035755221143,0.7622070161315292,1818.969970703125
37,2018-08-02,1808.449951171875,-18.1700439453125,1813.3323946372382,-7.090672730417737,0.22699731031832826,0.0,1.0001354994342828,27.1700439453125,1.2895057449185343,0.6687528360971708,1811.5066324869792
38,2018-08-05,1812.68994140625,-3.9400634765625,1813.2334090915215,-6.586867339073706,0.526511458078329,0.17677430026472393,0.9999498234155958,17.1800537109375,1.4134527494509066,0.22933941551382345,1809.5899658203125
39,2018-08-06,1806.6600341796875,7.2100830078125,1812.2208518443344,-6.577554178345963,0.6084058916036976,0.45099042277553913,1.0051143842441153,13.239990234375,1.5344185909067687,0.4554313953273958,1806.2666422526042
40,2018-08-07,1839.0,28.300048828125,1816.345093663394,-4.016345113587249,5.776629465272967,1.0,0.9882664409261998,32.3399658203125,0.3261867552932555,0.0,1828.2200113932292
41,2018-08-08,1876.4599609375,68.010009765625,1825.6018396044026,0.9142261241636334,8.942119152574858,1.0,0.9722253700894355,69.7999267578125,0.283783047709635,0.0,1853.1933186848958
42,2018-08-09,1844.93994140625,32.25,1828.5791924139846,2.3345098854738353,1.9717726074334625,0.17173580349999876,0.9887367779322508,69.7999267578125,0.43108189955487486,0.4515766848956193,1842.6866455078125
43,2018-08-12,1851.6700439453125,45.010009765625,1832.1339144811377,3.9399185638078507,2.0380873121397616,0.17155394909393096,0.9864959386259277,69.7999267578125,0.5748941980689148,0.3551567765708699,1844.9300130208333
44,2018-08-13,1849.1700439453125,10.1700439453125,1834.7562827998552,4.958254617199373,2.2495586525626856,0.03985254439362859,0.9895893500574747,37.4599609375,0.7152997126786037,0.7285089548736933,1854.8766682942708
45,2018-08-14,1847.760009765625,-28.699951171875,1836.7577766787479,5.589483664132786,1.2472479956450284,0.0,0.9929590304455683,31.52001953125,0.8523770041693252,0.9105308816011649,1856.3866373697917
46,2018-08-15,1877.02001953125,32.080078125,1842.9543793036719,8.295921126549047,1.0158074441071792,0.0,0.9810135083635158,32.080078125,0.9713923392735491,0.0,1866.32666015625
47,2018-08-16,1849.77001953125,-1.9000244140625,1844.0032847243474,8.196903849569708,1.1550087556755189,0.11282770028051389,0.997699163668203,29.260009765625,1.1023927057936587,0.9313052257423925,1858.183349609375
48,2018-08-19,1826.719970703125,-22.4500732421875,1841.3435722788165,6.226122796943173,0.5397521667953946,0.0,1.011056447630357,50.300048828125,9.943795456277941,1.0,1843.4866536458333
49,2018-08-20,1821.550048828125,-26.2099609375,1838.2976967350003,4.207134389479734,0.5144164425778123,0.0,1.014743463704732,55.469970703125,-7.342827247593077,1.0,1840.0400390625
